Date,Open,High,Low,Close,Adj Close,Volume
2023-01-18,864.450012,872.000000,858.650024,869.500000,862.401306,11313898
2023-01-19,868.000000,870.549988,862.000000,866.150024,859.078674,6694679
2023-01-20,873.500000,876.500000,865.549988,870.349976,863.244324,8127162
2023-01-23,882.000000,883.299988,864.599976,871.700012,864.583374,16882379
2023-01-24,879.000000,881.700012,868.000000,870.750000,863.641113,11504090
2023-01-25,873.299988,876.799988,848.000000,855.299988,848.317200,14918485
2023-01-27,839.150024,843.000000,813.099976,817.200012,810.528320,39718683
2023-01-30,800.000000,826.250000,796.000000,823.500000,816.776855,36301441
2023-01-31,826.000000,838.299988,814.099976,831.900024,825.108276,27291226
2023-02-01,843.450012,875.200012,823.150024,847.950012,841.027283,39237711
2023-02-02,828.400024,860.599976,826.099976,857.900024,850.896057,16798190
2023-02-03,864.650024,872.650024,852.099976,863.799988,856.747803,14914366
2023-02-06,861.500000,867.799988,849.650024,853.700012,846.730286,8463833
2023-02-07,855.000000,856.000000,847.200012,852.750000,845.788086,9337066
2023-02-08,852.500000,860.700012,851.900024,859.099976,852.086182,8082983
2023-02-09,858.500000,864.900024,851.599976,860.799988,853.772339,6299265
2023-02-10,855.549988,861.900024,852.000000,853.849976,846.879028,8656405
2023-02-13,853.400024,859.299988,849.349976,850.650024,843.705200,9394365
2023-02-14,853.900024,867.299988,852.099976,865.299988,858.235596,13402934
2023-02-15,866.400024,873.250000,860.599976,870.799988,863.690674,12070288
2023-02-16,875.950012,877.799988,864.849976,869.450012,862.351746,10715685
2023-02-17,867.549988,867.549988,855.150024,862.650024,855.607239,9990618
2023-02-20,862.650024,866.549988,850.250000,852.099976,845.143311,9013430
2023-02-21,854.400024,859.450012,846.849976,854.200012,847.226257,11704445
2023-02-22,851.250000,854.099976,834.750000,839.250000,832.398254,13880984
2023-02-23,836.549988,844.450012,833.549988,839.750000,832.894165,11743574
2023-02-24,843.950012,845.599976,835.549988,839.700012,832.844604,8246139
2023-02-27,833.549988,858.299988,833.549988,856.400024,849.408264,14422574
2023-02-28,854.900024,858.000000,850.000000,854.849976,847.870911,19600146
2023-03-01,864.000000,864.000000,851.849976,856.299988,849.309082,11015843
2023-03-02,853.000000,861.849976,851.099976,854.000000,847.027832,12327141
