Date,Open,High,Low,Close,Adj Close,Volume
2024-01-03,639.349976,648.000000,635.799988,643.450012,643.450012,14571772
2024-01-04,642.500000,646.400024,638.650024,642.750000,642.750000,13883388
2024-01-05,645.000000,651.750000,637.750000,641.950012,641.950012,15984585
2024-01-08,640.000000,645.000000,625.049988,627.000000,627.000000,14739531
2024-01-09,632.000000,634.349976,624.500000,625.400024,625.400024,13400235
2024-01-10,624.799988,625.299988,618.200012,621.750000,621.750000,12742464
2024-01-11,626.000000,627.150024,618.500000,620.200012,620.200012,15533860
2024-01-12,623.799988,636.500000,621.099976,633.599976,633.599976,16620797
2024-01-15,638.900024,645.500000,636.099976,640.099976,640.099976,16844018
2024-01-16,640.000000,644.900024,633.450012,636.900024,636.900024,15025543
2024-01-17,624.000000,636.799988,623.000000,626.000000,626.000000,30016308
2024-01-18,625.799988,633.450012,619.049988,628.299988,628.299988,14692633
